user_id,device_id,age_group,phone_condition,phone_duration,phone_history,primary_usage,internet_frequency,phone_sharing,internet_connection_type,phone_acquisition
User 53,Device 53,35–44,New (purchased first-hand),6–12 months,"Yes, mostly new phones","Calls and messaging, Social media",Daily,Only me,Wi-Fi,Bought by me
User 54,Device 54,18–24,New (purchased first-hand),6–12 months,"Yes, a mix","Social media, Entertainment (videos/music/games), Work or business, Education/learning, Accessing government services, Payments/financial apps",Almost all the time,Only me,Wi-Fi,Bought by family
User 55,Device 55,18–24,New (purchased first-hand),1–2 years,"Yes, mostly new phones","Work or business, Education/learning, Payments/financial apps, Calls and messaging, Social media, Entertainment (videos/music/games)",Almost all the time,Only me,Both equally,Bought by family
User 56,Device 56,35–44,New (purchased first-hand),Less than 6 months,"Yes, mostly new phones","Calls and messaging, Entertainment (videos/music/games), Payments/financial apps, Social media, Accessing government services",Almost all the time,Only me,Both equally,Bought by me
User 57,Device 57,18–24,New (purchased first-hand),Less than 6 months,"Yes, a mix","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Accessing government services, Payments/financial apps",,Only me,Mobile data,Bought by me
User 58,Device 58,25–34,New (purchased first-hand),Less than 6 months,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Accessing government services, Payments/financial apps",Almost all the time,Only me,Mobile data,Bought by me
User 59,Device 59,25–34,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Payments/financial apps",Almost all the time,Only me,Mobile data,Bought by me
User 60,Device 60,35–44,New (purchased first-hand),6–12 months,"Yes, mostly new phones",Calls and messaging,Almost all the time,Shared with family members,Mobile data,Bought by me
User 61,Device 61,,,,,,,,,
User 62,Device 62,18–24,Used (purchased second-hand),Less than 6 months,"Yes, mostly used/second-hand phones","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Accessing government services, Payments/financial apps",Daily,Only me,Mobile data,Bought by me
User 63,Device 63,18–24,Used (purchased second-hand),6–12 months,"Yes, mostly used/second-hand phones","Calls and messaging, Social media, Entertainment (videos/music/games)",Almost all the time,Only me,Mobile data,Bought by me
User 64,Device 64,25–34,New (purchased first-hand),1–2 years,"Yes, a mix","Calls and messaging, Social media, Entertainment (videos/music/games), Education/learning, Work or business",Daily,Shared with family members,Both equally,Bought by me
User 65,Device 65,25–34,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Calls and messaging, Work or business, Payments/financial apps, Social media",Daily,Only me,Mobile data,Bought by me
User 66,Device 66,18–24,New (purchased first-hand),2–3 years,"Yes, mostly new phones","Entertainment (videos/music/games), Social media, Calls and messaging, Payments/financial apps, Work or business",Almost all the time,Only me,Mobile data,Bought by me
User 67,Device 67,18–24,New (purchased first-hand),2–3 years,"Yes, a mix","Calls and messaging, Social media, Entertainment (videos/music/games), Education/learning, Payments/financial apps",Almost all the time,Only me,Both equally,Bought by family
User 68,Device 68,35–44,New (purchased first-hand),Less than 6 months,"Yes, mostly new phones",Calls and messaging,Almost all the time,Only me,Both equally,Bought by me
User 69,Device 69,25–34,New (purchased first-hand),2–3 years,"Yes, a mix","Calls and messaging, Social media, Education/learning",Almost all the time,Only me,Both equally,Bought by me
User 70,Device 70,25–34,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Calls and messaging, Education/learning, Payments/financial apps",Daily,Only me,Mobile data,Bought by me
User 71,Device 71,25–34,New (purchased first-hand),2–3 years,"Yes, a mix","Calls and messaging, Entertainment (videos/music/games), Social media, Work or business, Accessing government services, Payments/financial apps, Education/learning",Almost all the time,Only me,Mobile data,Bought by family
User 72,Device 72,Under 18,New (purchased first-hand),Less than 6 months,"Yes, mostly new phones","Calls and messaging, Social media",Rarely,Only me,Mobile data,Bought by me
User 73,Device 73,25–34,New (purchased first-hand),1–2 years,"Yes, a mix","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Payments/financial apps",Daily,Shared with family members,Both equally,Bought by me
User 74,Device 74,18–24,New (purchased first-hand),6–12 months,"Yes, mostly used/second-hand phones",Entertainment (videos/music/games),Daily,Shared with family members,Mobile data,Received as a gift
User 75,Device 75,35–44,New (purchased first-hand),More than 3 years,"Yes, a mix","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Payments/financial apps",Almost all the time,Only me,Both equally,Received as a gift
User 76,Device 76,18–24,Hand-me-down (from family/friends),More than 3 years,"Yes, mostly new phones",Calls and messaging,Almost all the time,Only me,Both equally,Bought by family
