id,session_id,created_at,call_type,recorded_filename,direct_pesq,pstn_pesq,volte_pesq,voip_pesq
b6e9b01f-488d-48b6-beb0-3899b6344d83,0def364a-72c3-4c06-8708-7f9b7100816a,2026-04-11 13:39:45.985862+05:30,device,webrtc_recording.wav,1.6590,1.6110,1.2190,1.9470
0d9773b7-4bb7-404b-9e7c-454b990928c9,58b9ca61-b6c9-4e38-a1f2-905595ee6f67,2026-04-11 13:31:50.048481+05:30,device,webrtc_recording.wav,1.7440,1.9320,1.7020,1.7480
042116f1-5d0f-42eb-87cc-c1e0258e4a8f,a92c7eb7-3993-4b8d-98f6-e10af152437f,2026-04-11 13:31:05.902269+05:30,device,webrtc_recording.wav,1.6300,2.2690,1.6350,1.6550
28270063-0faa-45c0-a377-fe452551ce14,7b883cfa-728f-4155-9a7b-23d47706dd07,2026-04-11 13:28:14.795041+05:30,device,webrtc_recording.wav,1.2420,1.4210,1.2440,1.1260
74cb2372-616c-4e23-a50e-52fae989a783,a21828af-33ef-4266-b10c-7168bbb42942,2026-04-11 13:21:25.684496+05:30,device,webrtc_recording.wav,1.1420,1.6740,1.1450,1.1350
3978572e-bf8c-4581-b277-1ae3f0b17035,4534d633-931c-4764-b48e-1d2561e7d765,2026-04-11 13:20:32.103075+05:30,device,webrtc_recording.wav,1.4980,1.7860,1.3390,1.4300
d5ac5960-0c1c-4b3f-a8f8-e6f5e5f74cab,e546e78d-e59d-4d9b-8d98-9bde99b7f240,2026-04-11 13:18:04.014470+05:30,device,webrtc_recording.wav,1.2860,1.8040,1.2630,1.3170
85bcf995-62cc-4353-a130-27a254345364,4bcbdd44-ca83-4766-b7c5-ad3c89f17361,2026-04-11 13:14:33.129007+05:30,device,webrtc_recording.wav,1.1720,1.4870,1.2050,1.2380
e16b0cf8-c142-4f9d-b1d3-02feb6c14736,09e3c01a-2c68-4321-bdc3-bd0d34f1d01e,2026-04-11 12:59:48.621966+05:30,device,webrtc_recording.wav,1.2160,1.7970,1.2200,1.2200
ad97892a-7740-4c93-b925-b7308a6650e2,b7e2353f-0dae-41f3-94e6-75c24005b1f4,2026-04-11 12:59:34.657441+05:30,device,webrtc_recording.wav,1.1710,1.6090,1.1770,1.1660
daef6afa-9c8e-410a-abf7-7ad43331fbb7,94d87768-7355-469b-be35-21657d674efb,2026-04-11 12:52:15.188337+05:30,device,webrtc_recording.wav,1.9560,2.7930,1.9540,1.9360
a5d88b71-fdfc-458e-afd7-abdac90f1a6d,667f454f-a38a-4c43-bef5-6ca03e0966ce,2026-04-11 12:34:16.481636+05:30,device,webrtc_recording.wav,1.3970,2.0510,1.3500,1.3910
