id,session_id,created_at,filename,file_size_bytes,vmaf_score,status
2fe2c605-fb16-4e5e-85b6-a97a87f0e760,58b9ca61-b6c9-4e38-a1f2-905595ee6f67,2026-04-11 13:35:32.748835+05:30,distorted_video.mp4,15806025,67.1300,completed
46a04cf0-5eeb-4a99-b0b5-5503289d547b,58b9ca61-b6c9-4e38-a1f2-905595ee6f67,2026-04-11 13:31:00.245129+05:30,distorted_video.mp4,3288,,failed
c242ecf6-8bc7-4e20-8283-f1c1d5ceb9ec,a92c7eb7-3993-4b8d-98f6-e10af152437f,2026-04-11 13:30:25.857051+05:30,distorted_video.mp4,14484199,44.3493,completed
b2d8ed04-179c-4663-9690-e3b0464bcfbe,7b883cfa-728f-4155-9a7b-23d47706dd07,2026-04-11 13:27:29.185761+05:30,distorted_video.mp4,10731543,45.8451,completed
cc55e06b-3aa5-499a-8bf2-cf2cd78b319d,4534d633-931c-4764-b48e-1d2561e7d765,2026-04-11 13:22:49.090725+05:30,distorted_video.mp4,24291562,0.0000,completed
262fa8a9-8b66-4ebf-9532-d73151cb55a6,a21828af-33ef-4266-b10c-7168bbb42942,2026-04-11 13:20:40.138269+05:30,distorted_video.mp4,13351517,64.0260,completed
f41ec514-644d-4098-8be2-7fd4e69df75e,e546e78d-e59d-4d9b-8d98-9bde99b7f240,2026-04-11 13:17:17.918552+05:30,distorted_video.mp4,9932670,42.2560,completed
0e2e9cb2-3ec0-4b82-9af2-5300c1f2af25,4bcbdd44-ca83-4766-b7c5-ad3c89f17361,2026-04-11 13:13:49.298976+05:30,distorted_video.mp4,13690544,67.0252,completed
c3f8a88f-b71f-43e5-8848-bdc7b934fa40,24231cce-0f78-4be2-aeb5-5c1af82f4bb7,2026-04-11 13:02:44.000502+05:30,distorted_video.mp4,23836889,81.3657,completed
acdafdb2-8ee0-4d95-b6b9-83e5f3aaae8c,09e3c01a-2c68-4321-bdc3-bd0d34f1d01e,2026-04-11 12:59:05.840529+05:30,distorted_video.mp4,13180729,60.2625,completed
190634c3-5dba-4e1a-b58e-277a34cd3357,b7e2353f-0dae-41f3-94e6-75c24005b1f4,2026-04-11 12:58:49.943336+05:30,distorted_video.mp4,15686332,73.0350,completed
5939f9e2-03cc-4768-87e0-ff8474f5b36c,94d87768-7355-469b-be35-21657d674efb,2026-04-11 12:51:32.264286+05:30,distorted_video.mp4,10766655,55.6010,completed
841997f7-b187-4d85-9c11-802d7814db68,d50213f9-92f7-49d4-81fe-2746f2cff490,2026-04-11 12:47:15.197248+05:30,distorted_video.mp4,15933749,58.0962,completed
47e4ed6d-ada8-4121-bca4-1b2ebfa4c145,b2d3160b-2f18-4c93-911b-c9ae03536a0a,2026-04-11 12:34:04.246610+05:30,distorted_video.mp4,1712253,71.2511,completed
704c4155-52a3-4546-8334-f3a5a48c8003,667f454f-a38a-4c43-bef5-6ca03e0966ce,2026-04-11 12:33:32.512183+05:30,distorted_video.mp4,11435098,0.0000,completed
bb48f0ef-43ec-4d71-a5b1-d9bfe0cc9d6a,8498641e-22ef-4b99-8d84-8d1a62ba8998,2026-04-11 12:31:13.688267+05:30,distorted_video.mp4,29140,41.4031,completed
1c949235-5299-40cf-bb98-e33e7e3eda6a,8498641e-22ef-4b99-8d84-8d1a62ba8998,2026-04-11 12:26:35.134146+05:30,distorted_video.mp4,3370,,failed
ee0728aa-fabb-44ab-804a-eecd1ee97722,8f892948-4e30-49ba-a341-9ccfffc194dc,2026-04-11 12:18:59.687708+05:30,distorted_video.mp4,23916044,48.3839,completed
2072f730-aeed-4932-a49f-a41e88545ed3,091145f9-479c-4cec-aa50-a8a0b8c2820d,2026-04-11 12:09:07.513360+05:30,distorted_video.mp4,11939818,54.8034,completed
921c9767-0486-497d-a50e-09919a743851,3594d776-a8e7-437d-b836-0263f91fdcca,2026-04-11 11:43:59.966447+05:30,distorted_video.mp4,12994640,51.8882,completed
d5e9a2a3-7fc7-4340-b612-fc656d5f796d,88d74970-8a57-434c-a175-24a1967d5e56,2026-04-11 10:53:39.351853+05:30,distorted_video.mp4,12690637,57.8455,completed
9a4a2868-770a-4a65-876b-f949357efba1,,2026-04-11 10:52:45.445495+05:30,distorted_video.mp4,5502,97.0419,completed
be14cd60-5986-44bf-985c-d9bb200ffa94,,2026-04-11 10:51:40.304802+05:30,distorted_video.mp4,13425881,48.4560,completed
e6303240-ea03-4f74-9db9-ce93c2d75ef0,99dfdb48-ecb5-4091-b5bd-d69946e41e88,2026-04-11 10:36:11.803232+05:30,distorted_video.mp4,15982634,45.1537,completed
d71788de-6e71-4554-970b-b05260dc8c24,ffe829a0-14a8-4c6d-9818-de9de84d91fb,2026-04-11 10:35:58.037370+05:30,distorted_video.mp4,12932737,51.8590,completed
8e99cf6b-d08d-4377-b639-5da69887c538,fcc1f050-75f7-4cb5-bc8f-9e60ff3d03bd,2026-04-11 10:09:18.777575+05:30,distorted_video.mp4,13058443,45.7726,completed
f2811558-bc15-4a96-abfe-d6426e2ae0ea,90128a07-935c-468a-8559-e900f9aa22c4,2026-04-11 08:41:10.718709+05:30,distorted_video.mp4,13085907,45.3903,completed
cc829169-4361-4aee-a6eb-0109fe62dbca,42d1fba9-194d-4706-8b55-02f068c9e5b8,2026-04-11 08:32:56.488331+05:30,distorted_video.mp4,13275175,74.0450,completed
d4f8611e-ec36-4c56-adde-e3d01c7a79dc,8d83eee2-1212-4444-8cdd-513516dcb34e,2026-04-11 08:24:12.090275+05:30,distorted_video.mp4,10380813,81.7050,completed
d28c0559-5e25-43e8-a6fe-fd64cf6c3da6,b25e20c7-b156-496f-9d72-8632344b01be,2026-04-11 00:16:55.884094+05:30,distorted_video.mp4,10324721,84.5961,completed
19117a11-fb05-4add-840e-2068dad43cc7,d2dce1ea-6ccf-4331-adcb-3ff169dbe821,2026-04-11 00:06:34.112715+05:30,distorted_video.mp4,10512720,78.6021,completed
0f0aa05f-2ebe-4bb5-9009-6f558a544d9a,7e38c81c-7f52-41dd-9572-37aab9e86290,2026-04-10 21:02:12.924543+05:30,distorted_video.mp4,14192134,62.5304,completed
8560fb87-a21e-4f08-87e1-67b39349c19d,35233cec-0ede-41df-9665-468821f6a866,2026-04-10 17:41:54.460628+05:30,distorted_video.mp4,12976973,56.8817,completed
210ad6ea-291d-4d47-a6e1-4023a6827888,b03c45a6-cdf1-4cb6-930a-cdedd65c3040,2026-04-10 17:33:32.398668+05:30,distorted_video.mp4,12973769,47.3496,completed
05ccedb1-1c91-4344-a951-c34f49e7a918,93cf0d0c-1d58-4e62-848c-c39c7e4dd420,2026-04-10 13:54:49.343221+05:30,distorted_video.mp4,13116671,49.7689,completed
